filename,label
2237.jpg,rendang
0698.jpg,nasi_goreng
2605.jpg,soto_ayam
0705.jpg,nasi_goreng
1264.jpg,gado_gado
1026.jpg,rendang
1336.jpg,gado_gado
0163.jpg,gado_gado
1459.jpg,rendang
0564.jpg,rendang
2050.jpg,bakso
1681.jpg,rendang
0340.jpg,bakso
0416.jpg,rendang
1836.jpg,nasi_goreng
1655.jpg,bakso
0615.jpg,rendang
0932.jpg,soto_ayam
0964.jpg,rendang
1174.jpg,soto_ayam
1913.jpg,gado_gado
2018.jpg,gado_gado
1379.jpg,soto_ayam
1233.jpg,nasi_goreng
0164.jpg,rendang
1066.jpg,bakso
2428.jpg,rendang
2531.jpg,nasi_goreng
0312.jpg,bakso
0974.jpg,soto_ayam
1043.jpg,bakso
1627.jpg,nasi_goreng
1315.jpg,gado_gado
0674.jpg,nasi_goreng
2450.jpg,rendang
2601.jpg,rendang
1951.jpg,gado_gado
2304.jpg,gado_gado
2296.jpg,soto_ayam
0323.jpg,bakso
0044.jpg,soto_ayam
0641.jpg,rendang
1643.jpg,gado_gado
0798.jpg,soto_ayam
1565.jpg,soto_ayam
0911.jpg,soto_ayam
1023.jpg,bakso
0573.jpg,bakso
1680.jpg,nasi_goreng
0610.jpg,nasi_goreng
1387.jpg,rendang
2759.jpg,soto_ayam
0222.jpg,rendang
2431.jpg,rendang
2264.jpg,nasi_goreng
1238.jpg,nasi_goreng
1996.jpg,soto_ayam
1880.jpg,rendang
0466.jpg,rendang
0412.jpg,nasi_goreng
0621.jpg,nasi_goreng
0169.jpg,gado_gado
1353.jpg,rendang
2641.jpg,nasi_goreng
2624.jpg,gado_gado
1827.jpg,rendang
0355.jpg,nasi_goreng
0398.jpg,soto_ayam
1845.jpg,bakso
0372.jpg,bakso
2054.jpg,nasi_goreng
1678.jpg,nasi_goreng
2390.jpg,gado_gado
1711.jpg,nasi_goreng
1877.jpg,gado_gado
0112.jpg,rendang
0750.jpg,gado_gado
2693.jpg,gado_gado
2613.jpg,soto_ayam
1955.jpg,bakso
1442.jpg,nasi_goreng
2621.jpg,gado_gado
0117.jpg,bakso
0948.jpg,nasi_goreng
1889.jpg,bakso
0482.jpg,soto_ayam
0878.jpg,rendang
0814.jpg,gado_gado
2070.jpg,gado_gado
1128.jpg,soto_ayam
2594.jpg,soto_ayam
2083.jpg,bakso
0979.jpg,gado_gado
1966.jpg,nasi_goreng
2722.jpg,bakso
0097.jpg,gado_gado
0377.jpg,soto_ayam
2049.jpg,nasi_goreng
1730.jpg,soto_ayam
1409.jpg,rendang
0509.jpg,soto_ayam
1415.jpg,rendang
0958.jpg,rendang
1509.jpg,nasi_goreng
1355.jpg,rendang
0324.jpg,gado_gado
0780.jpg,nasi_goreng
0424.jpg,gado_gado
0693.jpg,rendang
0619.jpg,bakso
0091.jpg,nasi_goreng
1862.jpg,bakso
0442.jpg,bakso
1446.jpg,nasi_goreng
1305.jpg,gado_gado
1246.jpg,bakso
0394.jpg,rendang
1139.jpg,bakso
1078.jpg,rendang
1361.jpg,soto_ayam
1728.jpg,nasi_goreng
0347.jpg,rendang
0330.jpg,bakso
2685.jpg,rendang
2135.jpg,bakso
1386.jpg,bakso
0229.jpg,soto_ayam
0201.jpg,nasi_goreng
0098.jpg,nasi_goreng
1422.jpg,bakso
1475.jpg,bakso
1788.jpg,nasi_goreng
1197.jpg,gado_gado
1150.jpg,rendang
1082.jpg,soto_ayam
2404.jpg,nasi_goreng
1292.jpg,nasi_goreng
1047.jpg,nasi_goreng
1691.jpg,rendang
1790.jpg,soto_ayam
2129.jpg,rendang
1516.jpg,bakso
0782.jpg,soto_ayam
0881.jpg,bakso
0582.jpg,soto_ayam
0080.jpg,soto_ayam
1801.jpg,nasi_goreng
0089.jpg,bakso
2362.jpg,rendang
0913.jpg,rendang
1675.jpg,gado_gado
0108.jpg,nasi_goreng
2741.jpg,bakso
1460.jpg,soto_ayam
2211.jpg,bakso
2427.jpg,bakso
2603.jpg,gado_gado
1060.jpg,soto_ayam
1102.jpg,gado_gado
1259.jpg,gado_gado
0620.jpg,gado_gado
0893.jpg,gado_gado
0669.jpg,gado_gado
1647.jpg,soto_ayam
0718.jpg,rendang
1760.jpg,nasi_goreng
0073.jpg,gado_gado
2445.jpg,soto_ayam
1559.jpg,gado_gado
1342.jpg,rendang
0385.jpg,gado_gado
1440.jpg,bakso
1226.jpg,bakso
1229.jpg,bakso
1990.jpg,rendang
1670.jpg,nasi_goreng
1163.jpg,bakso
1056.jpg,bakso
0508.jpg,nasi_goreng
1983.jpg,gado_gado
2785.jpg,bakso
0891.jpg,gado_gado
1846.jpg,nasi_goreng
0826.jpg,gado_gado
1248.jpg,nasi_goreng
2351.jpg,gado_gado
